,ticker,yearReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND)
0,HPG,2024,86674276272995,6887646139852,18974716730905,7647800286988,46091222189472,7072890925778,137815431280986,0,67428366953514,559598463093,136500000000,0,5016848415359,224489707553981,109842249570282,75225243262689,34617006307593,114647457983699,114647457983699,49599124109203,290990632368,224489707553981,2118824427004,87461616439,46192292081813,0,794841242128,63962502000000,63962502000000,27080443256096,739178306553,55882686213459,63613126723,4269141694868,0,840594835822,923400123614
1,HPG,2023,82716439173043,12252001160884,22177303502481,10702136439996,34504487406261,3080510663421,105066147390758,95351026613,71998370737871,593920277320,40000000000,0,4454004867718,187782586563801,84946167324422,71513492904733,13432674419689,102836419239379,102836419239379,40593031662654,65769846491,187782586563801,2583940446585,203600000000,34628367844950,0,818200313964,58147857000000,58147857000000,10399119292481,741733890580,54981883180636,75909018692,4215007972679,0,781079548004,1880922130348
2,HPG,2022,80514708725456,8324588920227,26268246676354,9892867373309,34491111096123,1537894659443,89820810782676,101693561714,70832915657865,629111776960,700000000,0,4100323979117,170335519508132,74222579892349,62385390680685,11837189211664,96112939615783,96112939615783,33833829973987,105562146315,170335519508132,5366251939739,124200000000,35727277739296,0,834782434216,58147857000000,58147857000000,11151651204402,860793139245,46748670400471,88008959996,3929243956403,700000000,792790894665,894484456379
3,HPG,2021,94154859648304,22471375562130,18236152616078,7662680796645,42134493932210,3650156741241,84081562709945,118401369280,69280841784004,548210755123,6715955617,0,3737859869519,178236422358249,87455796846810,73459315876441,13996480970369,90780625511439,90780625511439,41763425970912,154788720987,178236422358249,1722371823278,23521740500,42370012405544,0,923549304122,44729227060000,44729227060000,13464931998700,788002603134,43747643082356,37121950665,3171382188206,700000000,690833578689,809234947969
4,HPG,2020,56747258197010,13696099298228,8126992675380,6124790460291,26286822229202,2512553533909,74764176191827,96007238800,65561657180137,564296973801,171085206311,0,1914757777153,131511434388837,72291648082726,51975217447498,20316430635228,59219786306111,59219786306111,21792442633285,148746685328,131511434388837,1303037835829,0,26373360826788,0,928641612156,33132826590000,33132826590000,17343247551512,1257272765123,36798465672104,43109950665,1646094518464,700000000,209158308631,305165547431
5,HPG,2019,30436936909894,4544900252204,1374340352910,3561397190688,19411922748095,1544376365997,71339093190006,4910346000,31249493917960,576616510917,45794216642,0,2004150482489,101776030099900,53989393956205,26984198187977,27005195768228,47786636143695,47786636143695,15876913750948,163213679327,101776030099900,757832561191,0,19480666530260,0,923641612156,27610741150000,27610741150000,19842099219720,408691837688,16837653470387,61185171517,1650738623090,700000000,22807248984,27717594984
6,HPG,2018,25308725187618,2515617135457,3724562710535,3210278608751,14115139048908,1743127683967,52914282483307,0,12782560625001,179740530488,66584926457,0,1755774089572,78223007670925,37600057830115,22636149492136,14963908337979,40622949840810,40622949840810,15126437863905,126961469222,78223007670925,810319171039,0,14188336169734,0,918641612156,21239071660000,21239071660000,12810996979972,361444408581,11494717393327,88234324237,1461311868435,700000000,22301804672,22301804672
7,HPG,2017,33068060366641,4264641954689,9936707080033,6555418799648,11748873281675,562419250596,19954124411610,0,13197796695351,191191085236,16951738400,0,1057622949461,53022184778251,20624604566341,18519722634329,2104881932012,32397580211910,32397580211910,13397029077196,110613825490,53022184778251,4007002903693,0,11893184186263,0,518641612156,15170790000000,15170790000000,1651494675275,824276288448,11328518776500,54405476957,832464153214,15700000000,21810530536,21810530536
8,HPG,2016,18182786709294,4558660713745,693498769815,2394830525734,10247175680697,288621019303,15043765608591,2500000000,12670459873438,202756917580,78864136876,0,918531319407,33226552317885,13376291239921,11985020235150,1391271004771,19850261077964,19850261077964,9486351633348,105687700335,33226552317885,705742217537,0,10391475894874,0,1156415747213,8428749560000,8428749560000,972200000000,1036123955455,5488170638894,74833965963,716374249275,15702128365,15673189031,18173189031
9,HPG,2015,11915177133485,2372761840865,758094875121,1608216522801,6937441787064,238662107634,13591592052060,5000000000,8211430447399,192494292820,102545479270,0,726477135665,25506769185545,11040058800235,9992832755685,1047226044550,14466710385310,14466710385310,5549332356102,22916810301,25506769185545,390265827195,0,7208055393649,0,891436091839,7329514190000,7329514190000,739000000000,50112574555,6116817325257,91091275203,551682828680,15702128365,11485258954,16485258954
10,HPG,2014,11745859365753,2026280467705,506641791271,1723031959315,7386389048165,103516099297,10343245032050,0,8728652459845,197343763931,61184828523,0,917366261264,22089104397803,10123764654194,8966332083327,1157432570867,11965339743609,11965339743609,4094767826367,169355717253,22089104397803,457068881547,0,7601110304518,0,674783632921,4819081750000,4819081750000,1010863752151,158911796301,5736983436809,382082082487,483218729903,15702128365,9225561499,9225561499
11,HPG,2013,12402515338144,2125322390697,387793671402,1629428547084,8029575289191,230395439770,10673862524545,0,9187130524312,62002294764,21255298806,572856921038,380858246946,23076377862689,13489417843130,11142521402951,2346896440179,9500327254417,9500327254417,2643370909871,0,23076377862689,350774484077,0,8064854889451,26332427061,0,4190525330000,4190525330000,1831823606336,79676433981,5743559817748,0,326428533088,15702128365,449759238679,449759238679
